,company,year,quarter,IQ_EBIT,IQ_TOTAL_OTHER_OPER,IQ_OPER_INC,IQ_TOTAL_REV,TARGET,IQ_AR,IQ_RE,IQ_TOTAL_ASSETS,IQ_CATEGORY
0,IQ102267046,2013.0,Q4,0.088781,1.544846,0.088781,2.962316,4.305274,2.4679159999999998,-0.22082399999999996,3.4791540000000003,0.0
1,IQ102267046,2014.0,Q4,0.16102,2.177063,0.16102,4.305274,6.537584,3.671694,0.081069,4.908565,0.0
2,IQ102267046,2015.0,Q4,0.018563999999999997,3.163827,0.018563999999999997,6.537584,12.468611,5.15987,0.10799700000000001,6.973966000000001,0.0
3,IQ105654219,2007.0,Q4,-0.058002,1.40588,-0.058002,2.91276,4.642862,0.736371,-0.161029,1.867177,0.0
4,IQ105654219,2012.0,Q4,0.417684,1.918909,0.417684,4.642862,4.957326,1.1141450000000002,0.9359049999999999,3.141921,0.0
5,IQ105654219,2013.0,Q4,-0.279613,2.797544,-0.279613,4.957326,5.178121,1.187189,0.563627,4.673291000000001,0.0
6,IQ105654219,2014.0,Q4,-0.012899,2.7271669999999997,-0.012899,5.178121,5.825744,1.3457780000000001,0.525001,5.310506,0.0
7,IQ105654219,2015.0,Q4,0.101328,3.215089,0.101328,5.825744,6.754633,1.288948,0.876117,6.66206,0.0
8,IQ105654219,2016.0,Q4,0.358184,3.9537730000000004,0.358184,6.754633,8.18891,2.60681,1.275419,10.109099,0.0
9,IQ105708162,2011.0,Q4,-1.11332,2.900877,-1.11332,2.025528,2.752341,0.819368,-2.526935,1.177929,0.0
10,IQ105708162,2012.0,Q4,-1.873705,4.542656,-1.873705,2.752341,3.83655,1.402172,-4.165296,3.1268860000000003,0.0
11,IQ105708162,2013.0,Q4,-0.31803200000000004,4.064036,-0.31803200000000004,3.83655,5.278701,0.45720299999999997,-4.43962,2.639212,0.0
12,IQ105708162,2014.0,Q4,0.081051,5.021172,0.081051,5.278701,5.046245,1.701816,-4.371462999999999,7.962905,0.0
13,IQ105708162,2015.0,Q4,-1.691387,6.486145,-1.691387,5.046245,8.312505999999999,1.7792830000000002,-5.937353,7.33638,0.0
14,IQ105708162,2016.0,Q4,0.09864099999999999,7.993983,0.09864099999999999,8.312505999999999,11.451703,1.6306559999999999,-5.564337,9.833639,0.0
15,IQ1058799,2005.0,Q4,-0.528515,2.260654,-0.528515,1.7321389999999999,2.4346810000000003,0.0042,-3.261002,2.812911,0.0
16,IQ1058799,2006.0,Q4,0.8146,1.6200809999999999,0.8146,2.4346810000000003,24.812025,0.004099,-3.296212,3.4901760000000004,0.0
17,IQ1058799,2007.0,Q4,0.194157,6.071749,0.194157,24.812025,28.717651,5.223023,-2.572004,9.516302,0.0
18,IQ1058799,2008.0,Q4,1.254641,7.006788,1.254641,28.717651,31.614456,5.343442,-1.606507,10.635284,0.0
19,IQ1058799,2009.0,Q4,2.096357,7.5656669999999995,2.096357,31.614456,36.902798,5.149172,-0.49689099999999997,12.236303,0.0
20,IQ1058799,2010.0,Q4,0.843794,10.101569,0.843794,36.902798,45.13207,7.396966,-0.33655799999999997,12.607194999999999,0.0
21,IQ1058799,2011.0,Q4,1.009723,11.596613,1.009723,45.13207,56.029846,7.1636169999999995,0.064708,13.654678,0.0
22,IQ1058799,2012.0,Q4,2.78599,13.539035,2.78599,56.029846,56.849655000000006,9.432186999999999,1.8996,17.455954000000002,0.0
23,IQ1058799,2013.0,Q4,-1.0923180000000001,15.773157000000001,-1.0923180000000001,56.849655000000006,73.321976,9.864358,1.593369,27.475170000000002,0.0
24,IQ1058799,2014.0,Q4,0.009212999999999999,19.565376,0.009212999999999999,73.321976,69.27048,13.635013,1.0898450000000002,28.845066,0.0
25,IQ1058799,2015.0,Q4,5.397463,16.146147,5.397463,69.27048,66.712395,11.897902,4.665732,25.901970000000002,0.0
26,IQ1058799,2016.0,Q4,6.677589,17.644009,6.677589,66.712395,71.18536,10.368403,10.627751,26.005095,0.0
27,IQ106623823,2010.0,Q4,1.2924229999999999,2.2082189999999997,1.2924229999999999,7.3419300000000005,10.964488000000001,1.294712,0.865331,1.8613669999999998,0.0
28,IQ106623823,2011.0,Q4,1.92605,3.656914,1.92605,10.964488000000001,13.308442000000001,1.7723790000000001,0.36147199999999996,3.453124,0.0
29,IQ106623823,2012.0,Q4,1.497152,4.386311,1.497152,13.308442000000001,21.380173000000003,1.9952189999999999,1.7976990000000002,4.83694,0.0
30,IQ106623823,2013.0,Q4,3.8776230000000003,6.55082,3.8776230000000003,21.380173000000003,28.874547999999997,3.287554,4.263869000000001,6.776897999999999,0.0
31,IQ106623823,2014.0,Q4,5.0478,8.238844,5.0478,28.874547999999997,38.532112,6.15693,4.111593,9.691305,0.0
32,IQ106623823,2015.0,Q4,10.287455,10.362958,10.287455,38.532112,47.90647,8.966478,6.675391,15.255244,0.0
33,IQ106623823,2016.0,Q4,12.86013,10.944211,12.86013,47.90647,55.914885999999996,10.28129,18.720057999999998,24.093039,0.0
34,IQ108539514,2013.0,Q4,-5.1885959999999995,7.484546000000001,-5.1885959999999995,2.29595,3.176327,0.092902,-10.055174000000001,1.701234,0.0
35,IQ108539514,2014.0,Q4,-4.697062,7.8733889999999995,-4.697062,3.176327,3.6683660000000002,0.175938,-14.508076,3.390411,0.0
36,IQ108539514,2015.0,Q4,-5.1567169999999996,8.825083,-5.1567169999999996,3.6683660000000002,5.055035,0.32267199999999996,-19.42928,4.214926999999999,0.0
37,IQ108539514,2016.0,Q4,-5.641239,10.696273,-5.641239,5.055035,5.190282,0.368286,-29.746332000000002,3.743672,0.0
38,IQ108950379,2010.0,Q4,-0.71435,2.909033,-0.71435,2.197346,3.4211519999999997,0.796211,-1.279644,2.568867,0.0
